2605280718_alldets ij = 1200.0,714.0 = ScoX1+   0.5,   0.5 ra,dec = 237.91,-43.19    8.2 σ for 47 s at 158 cps 4 dets
2605281537_alldets ij = 1212.0,200.0 = ScoX1+  -0.3,  -0.3 ra,dec = 197.19,-26.17   20.0 σ for 308 s at 20 cps 4 dets
2605281617_alldets ij = 1578.0,857.0 = ScoX1+  -0.5,  -0.4 ra,dec = 265.07, -6.81   24.7 σ for 550 s at 70 cps 4 dets
2605282028_alldets ij = 1220.0,213.0 = ScoX1+   0.3,   0.1 ra,dec = 197.60,-24.47   10.5 σ for 232 s at 35 cps 3 dets
2605282159_alldets ij = 1180.0,135.0 = ScoX1+  -0.4,  -0.6 ra,dec = 198.64,-42.78   10.5 σ for 540 s at 48 cps 4 dets
2605282239_alldets ij = 1578.0,540.0 = ScoX1+  -0.4,  -0.1 ra,dec = 266.10,  9.80   25.2 σ for 541 s at 49 cps 4 dets
2605290731_alldets ij = 1183.0,529.0 = ScoX1+   0.4,  -0.1 ra,dec = 233.49,-49.41   14.6 σ for 542 s at 97 cps 2 dets
2605290741_alldets ij = 1186.0,164.0 = ScoX1+  -0.3,   0.1 ra,dec = 198.56,-39.76   12.9 σ for 551 s at 23 cps 2 dets
2605290813_alldets ij = 1561.0,197.0 = ScoX1+  -0.3,   0.4 ra,dec = 253.90, 27.74    9.7 σ for 488 s at 215 cps 4 dets
2605290905_alldets ij = 1189.0,654.0 = ScoX1+  -0.5,   0.2 ra,dec = 242.21,-46.05    7.2 σ for 567 s at 134 cps 4 dets
2605290916_alldets ij = 1178.0,143.0 = ScoX1+   0.3,   0.0 ra,dec = 199.91,-44.57    8.6 σ for 579 s at 57 cps 4 dets
2605291051_alldets ij = 1174.0,163.0 = ScoX1+  -0.2,  -0.4 ra,dec = 202.79,-47.45   24.5 σ for 576 s at 38 cps 4 dets
2605291409_alldets ij = 1193.0,184.0 = ScoX1+   0.1,  -0.5 ra,dec = 198.51,-37.22   11.1 σ for 391 s at 22 cps 4 dets
2605291539_alldets ij = 1172.0,328.0 = ScoX1+  -0.3,  -0.8 ra,dec = 215.96,-50.45   11.5 σ for 545 s at 203 cps 4 dets
2605291549_alldets ij = 1217.0,222.0 = ScoX1+   0.0,   0.1 ra,dec = 198.24,-28.63   17.9 σ for 355 s at 30 cps 4 dets
2605291719_alldets ij = 1173.0,169.0 = ScoX1+  -0.6,  -0.4 ra,dec = 202.89,-47.20   22.0 σ for 377 s at 53 cps 4 dets
2605291809_alldets ij = 1576.0,905.0 = ScoX1+   0.0,  -0.2 ra,dec = 264.49,-10.02   19.0 σ for 562 s at 28 cps 1 dets
2605291859_alldets ij = 1187.0,179.0 = ScoX1+  -0.5,  -0.5 ra,dec = 199.24,-39.82   17.9 σ for 538 s at 40 cps 4 dets
2605292039_alldets ij = 1210.0,217.0 = ScoX1+  -0.3,  -0.4 ra,dec = 198.46,-31.46   23.0 σ for 528 s at 51 cps 4 dets
2605300028_alldets ij = 1594.0,492.0 = ScoX1+  -0.2,   0.7 ra,dec = 267.06, 11.27   23.8 σ for 538 s at 49 cps 4 dets
2605300649_alldets ij = 1591.0,164.0 = ScoX1+  -0.2,   0.4 ra,dec = 257.20, 28.04   19.1 σ for 592 s at 34 cps 4 dets
2605300753_alldets ij = 1185.0,189.0 = ScoX1+   0.3,  -0.4 ra,dec = 200.42,-41.56   18.4 σ for 596 s at 46 cps 4 dets
2605300928_alldets ij = 1177.0,177.0 = ScoX1+  -0.6,  -0.8 ra,dec = 201.45,-44.49   11.2 σ for 578 s at 28 cps 1 dets
2605301250_alldets ij = 1252.0,272.0 = ScoX1+  -0.1,   0.5 ra,dec = 199.86,-21.95   10.0 σ for 262 s at 13 cps 1 dets
2605301602_alldets ij = 1228.0,254.0 = ScoX1+  -0.6,  -0.7 ra,dec = 199.50,-28.40   11.8 σ for 364 s at 11 cps 1 dets
2605301912_alldets ij = 1191.0,214.0 = ScoX1+  -0.3,  -0.4 ra,dec = 200.64,-39.57   15.8 σ for 539 s at 34 cps 4 dets
2606011129_alldets ij = 1166.0,296.0 = ScoX1+   0.1,  -0.3 ra,dec = 208.92,-46.57   22.4 σ for 580 s at 33 cps 4 dets
2606011305_alldets ij = 1158.0,359.0 = ScoX1+  -0.1,  -0.4 ra,dec = 214.06,-47.89   17.5 σ for 578 s at 49 cps 3 dets
2606011438_alldets ij = 1136.0,602.0 = ScoX1+  -0.2,   0.3 ra,dec = 235.35,-47.77   14.0 σ for 454 s at 280 cps 4 dets
2606011448_alldets ij = 1209.0,287.0 = ScoX1+   0.1,  -0.6 ra,dec = 202.60,-36.39   22.5 σ for 503 s at 32 cps 4 dets
2606011757_alldets ij = 1167.0,293.0 = ScoX1+  -0.1,  -0.0 ra,dec = 208.30,-46.06   13.7 σ for 538 s at 60 cps 4 dets
2606011937_alldets ij = 1197.0,283.0 = ScoX1+  -0.9,  -0.8 ra,dec = 203.46,-38.99   13.2 σ for 537 s at 31 cps 3 dets
2606012117_alldets ij = 1238.0,317.0 = ScoX1+  -0.1,  -0.1 ra,dec = 202.33,-30.54   11.4 σ for 538 s at 77 cps 4 dets
2606012157_alldets ij = 1612.0,590.0 = ScoX1+  -0.3,   0.1 ra,dec = 270.66,  2.75   25.6 σ for 547 s at 38 cps 4 dets
2606012327_alldets ij = 1654.0,220.0 = ScoX1+  -0.0,  -0.0 ra,dec = 266.26, 22.72   13.5 σ for 539 s at 63 cps 4 dets
2606012337_alldets ij = 1586.0,739.0 = ScoX1+   0.0,   0.0 ra,dec = 268.96, -4.82   22.5 σ for 546 s at 46 cps 4 dets
2606020117_alldets ij = 1553.0,879.0 = ScoX1+  -0.5,   0.3 ra,dec = 265.56,-10.92   17.5 σ for 505 s at 116 cps 4 dets
2606020556_alldets ij = 1649.0,318.0 = ScoX1+  -0.7,   0.1 ra,dec = 269.23, 17.14   18.7 σ for 537 s at 51 cps 4 dets
2606020831_alldets ij = 1189.0,292.0 = ScoX1+  -0.8,  -0.9 ra,dec = 204.79,-40.89   14.3 σ for 583 s at 74 cps 4 dets
2606021142_alldets ij = 1162.0,339.0 = ScoX1+  -0.7,  -0.1 ra,dec = 210.96,-46.20   12.6 σ for 576 s at 47 cps 4 dets
2606021318_alldets ij = 1153.0,400.0 = ScoX1+   0.1,   0.1 ra,dec = 215.96,-47.40   11.7 σ for 577 s at 28 cps 3 dets
2606021328_alldets ij = 1297.0,362.0 = ScoX1+   1.0,   0.7 ra,dec = 203.37,-21.07    7.6 σ for 93 s at 21 cps 3 dets
2606021450_alldets ij = 1123.0,639.0 = ScoX1+   0.3,  -0.2 ra,dec = 237.10,-46.96   10.0 σ for 407 s at 312 cps 4 dets
2606021500_alldets ij = 1214.0,321.0 = ScoX1+   0.2,  -0.4 ra,dec = 203.96,-36.07   22.4 σ for 458 s at 31 cps 4 dets
